订单编号,顾客ID,商品ID,购买时间,购买数量,商品价格
Y8UD2EEJJM,CUST26340,PROD28857,2024-07-08 07:37:26,10,973.59
VBSOXN84ZL,CUST37548,PROD72263,2024-04-19 19:18:36,2,612.95
U2IRBOAW3S,CUST21727,PROD71481,2024-07-09 18:04:27,9,612.77
MRKJA56RKE,CUST18280,PROD89015,2024-01-29 21:16:13,8,343.33
82C6Z7XRB7,CUST64913,PROD82602,2024-09-01 13:44:27,5,589.12
1A5TFUF5F3,CUST71742,PROD11727,2023-11-21 08:43:59,6,863.01
3PS95AHRTL,CUST21836,PROD52438,2024-07-26 11:18:03,2,198.46
2UI802KB9K,CUST33911,PROD29730,2024-02-09 13:11:45,4,418.5
0GV0GIK76S,CUST13729,PROD93208,2024-03-04 23:34:34,9,870.26
SDXKSE15IN,CUST18181,PROD70636,2023-11-20 11:19:48,8,963.47
Z9BYNEJOA7,CUST57501,PROD83605,2024-08-07 00:46:17,2,941.65
IDMODE8RSA,CUST19588,PROD48070,2024-10-22 02:48:04,3,992.42
JTAW8GD7CN,CUST41040,PROD99724,2024-06-16 22:46:43,4,326.96
HVFCDV5DOS,CUST15596,PROD76453,2024-10-11 19:21:34,2,574.96
7SC0OFIHJ7,CUST91563,PROD52600,2024-08-05 13:24:14,3,789.24
S5Y3O8HSWC,CUST54498,PROD44678,2024-04-30 06:21:02,5,556.71
AXL6NONHRH,CUST22655,PROD19057,2024-06-07 21:05:26,9,44.56
GGGRI2R5XX,CUST34992,PROD24956,2024-02-19 04:56:41,10,557.88
XUF77CPGX9,CUST46499,PROD10857,2023-12-29 05:40:33,8,492.51
C3AILGVFRD,CUST26674,PROD51867,2023-12-08 18:17:10,9,425.35
RLLYJZ4AUU,CUST16491,PROD80213,2024-11-13 19:16:14,1,500.13
CJX79OAM5E,CUST62164,PROD24160,2023-12-16 15:39:05,4,883.02
IAXWIX3VL8,CUST69410,PROD62812,2024-02-07 10:32:04,10,369.75
QSIBG1OSTH,CUST41146,PROD25667,2024-10-31 05:01:07,3,717.29
KZNFH1X33I,CUST95925,PROD54958,2024-05-28 21:19:55,7,843.78
1N7JC51OEN,CUST49593,PROD96220,2024-09-13 22:28:03,3,709.09
GSW8TH9JP5,CUST02249,PROD41235,2023-11-17 19:08:31,7,973.08
AR9UPQH730,CUST99812,PROD33727,2024-04-03 16:10:16,6,235.88
WK3F1YXY3N,CUST81503,PROD36675,2024-02-27 07:57:03,10,93.05
JZM7X1CLEG,CUST84405,PROD10297,2024-06-17 22:17:51,4,354.22
GRWJKSFUGJ,CUST45137,PROD31503,2024-06-09 19:06:13,1,879.12
28TLO8MQM0,CUST76904,PROD95745,2024-03-12 02:39:11,6,350.25
QS6T5BN7RA,CUST43097,PROD40677,2024-03-07 06:49:18,2,125.76
9ZQ9EWEELI,CUST07489,PROD25391,2023-11-28 03:37:25,7,590.47
RR3M63500Q,CUST98321,PROD04972,2024-10-04 21:19:14,5,593.65
1V5RZB0IEP,CUST28285,PROD69436,2024-08-03 07:43:14,1,380.47
PLFPJN1D83,CUST46890,PROD74069,2024-05-29 01:43:13,4,100.79
YTDIJHP1WR,CUST92838,PROD07091,2024-11-14 15:49:18,2,61.5
GQIQ3B2SFJ,CUST09943,PROD91343,2024-05-30 17:01:44,4,568.42
EV16UHN3K2,CUST23704,PROD23761,2023-12-24 21:59:06,4,968.67
YCR5XBWEDC,CUST84717,PROD83486,2024-11-01 16:49:36,10,773.21
CXEAZ6V1WH,CUST03292,PROD08076,2024-01-19 19:22:31,6,76.53
MQLXLR27N8,CUST22512,PROD30322,2024-04-29 14:07:52,10,341.9
A96H7ZIWI8,CUST25558,PROD17671,2024-06-03 02:38:15,7,654.66
78K7XHZ9OH,CUST77598,PROD52091,2024-02-07 12:42:17,2,293.03
ONDE22FGTL,CUST37677,PROD43817,2024-03-18 09:24:53,10,588.96
YNGQLU6DYA,CUST03448,PROD83092,2024-09-24 14:24:58,10,272.23
I6QTX5RSBD,CUST37440,PROD49710,2024-08-03 21:03:58,2,176.13
B1P7UU2MC6,CUST05140,PROD48837,2024-09-22 04:45:01,10,62.24
O6XKM193XA,CUST52202,PROD36520,2024-06-13 07:50:33,7,604.39
NMH8RZ52A8,CUST72139,PROD97251,2024-03-29 09:38:58,8,926.74
HN3X3VAOT8,CUST23791,PROD40874,2024-07-21 03:36:54,2,178.91
0L5DB37RC4,CUST73732,PROD62403,2024-03-15 06:27:50,7,961.67
0CVOANG5PA,CUST74192,PROD64794,2024-03-28 06:41:54,8,732.16
OF258J4LZX,CUST92923,PROD99611,2024-01-31 06:27:16,8,690.63
XMW6W0KY43,CUST26525,PROD77911,2024-05-12 18:58:22,3,299.0
IZLJZLNZZM,CUST95056,PROD71851,2024-02-09 07:11:52,6,14.54
HP87GT15LP,CUST56155,PROD61198,2024-06-09 21:11:07,5,935.17
YE3U6FGETB,CUST54698,PROD63148,2024-07-05 00:19:13,6,777.23
PGH9YKS6P1,CUST54834,PROD73577,2024-11-07 02:21:57,6,838.37
9UUQN26XLA,CUST78896,PROD11495,2024-06-08 01:04:59,8,835.52
MQI85M2YHT,CUST69132,PROD80804,2024-01-26 13:35:41,6,522.05
2VRWIFSN83,CUST76234,PROD88599,2024-01-29 21:00:50,9,455.38
ZVE0BOHD91,CUST01509,PROD60326,2024-04-20 13:12:03,6,378.37
9RLBQNMLN3,CUST02653,PROD60940,2023-11-17 23:15:38,6,350.57
L6ZB98SD1F,CUST80788,PROD52646,2024-11-04 17:50:00,6,296.07
7BLEU2EQXR,CUST21498,PROD31733,2024-10-14 18:08:19,10,436.99
BF4R9WAZF9,CUST78510,PROD81208,2024-04-13 04:32:09,8,385.94
7KLSD9QD7O,CUST89098,PROD72526,2024-08-08 10:34:03,3,482.58
KKY3BB78IU,CUST64685,PROD26087,2024-05-06 15:20:22,6,906.68
MNU34JAJIT,CUST84992,PROD12057,2024-08-04 15:38:50,1,62.49
QLLFHM344Y,CUST05139,PROD91436,2024-10-03 19:24:22,7,800.05
IZ4EP15UY6,CUST93622,PROD98444,2023-11-19 07:11:49,5,406.99
W61XYAHK1Z,CUST77035,PROD76964,2024-09-11 09:13:09,4,291.54
LP58TJ9YSE,CUST76051,PROD06120,2024-06-27 08:05:27,9,476.94
INART7VEBC,CUST45360,PROD77019,2024-04-09 17:07:45,1,193.24
7Z087ITNDC,CUST14673,PROD69726,2024-05-23 18:22:17,10,662.81
LMZ9ZRM45Y,CUST19526,PROD90382,2024-11-06 02:52:49,2,570.92
TANM8K0IU4,CUST29230,PROD56400,2024-01-10 13:43:02,5,453.36
WB9J6IL8BB,CUST73089,PROD59329,2023-11-27 09:54:15,1,997.66
1GHQIKKIBN,CUST49626,PROD32812,2024-07-23 06:21:45,10,363.25
0X2JXWBMWB,CUST36078,PROD71701,2024-03-03 18:03:14,8,428.76
3O0N9FKT7R,CUST22601,PROD70064,2024-03-05 04:06:57,8,537.56
GGMRUFTS9M,CUST02523,PROD94580,2024-10-29 07:02:07,5,246.52
W0XGS22E8L,CUST60681,PROD57255,2024-06-20 00:03:52,1,344.9
MGBVKSY06X,CUST57275,PROD97362,2024-09-29 20:36:29,5,607.55
PWILOFHFAC,CUST31290,PROD82525,2024-06-06 01:08:21,4,640.89
P74ELWU0O0,CUST18922,PROD03103,2024-09-04 03:14:38,6,580.9
T5GIQKEQW0,CUST03610,PROD07380,2024-03-29 13:00:42,10,585.08
DL19UE670B,CUST20254,PROD28523,2024-09-16 16:30:25,6,964.33
ZZWZO3M80M,CUST62419,PROD64032,2024-01-15 14:03:58,2,196.35
47ISE2SHK0,CUST22132,PROD37546,2024-01-15 21:33:56,6,677.32
Z7GSY69T8P,CUST34355,PROD91597,2024-07-17 16:38:08,1,840.25
77JCZLKXSO,CUST18875,PROD67442,2024-09-25 02:16:31,7,866.08
DN0R1WJHFF,CUST44479,PROD25756,2024-08-04 11:44:00,5,341.63
LBRSWCQ1Q7,CUST71739,PROD66381,2024-03-10 04:51:26,5,571.14
AVIS03KM4X,CUST34453,PROD39201,2024-06-02 21:49:07,8,553.41
3TJML2V3YW,CUST74708,PROD08312,2024-02-05 04:55:40,2,248.41
KIVBU1FPH3,CUST03740,PROD24713,2024-08-20 00:38:34,1,706.55
IJFW094XB6,CUST13364,PROD90254,2024-05-07 14:01:11,9,109.5
W1Q4F4NJ7T,CUST03420,PROD40170,2024-08-04 12:42:46,2,664.3
26WIM1KIQI,CUST58308,PROD73924,2024-05-14 12:57:54,3,918.04
53HLLMHPMY,CUST68347,PROD96436,2023-11-23 12:55:56,5,778.53
7OTHW8U7SD,CUST83601,PROD18168,2024-01-18 00:27:39,10,877.92
0ARR3C3YX3,CUST76498,PROD30151,2023-12-16 05:37:25,5,528.4
SCG6E1G563,CUST76486,PROD96293,2023-12-12 18:37:02,9,35.16
P5W9LGCQ9W,CUST96569,PROD56044,2024-07-21 09:04:12,8,195.75
3C8EVCSAWL,CUST57388,PROD90242,2024-01-04 00:12:51,1,973.76
SS1D3YON46,CUST04582,PROD27766,2024-10-07 10:25:07,2,661.61
PDTG8RT03U,CUST20505,PROD00129,2024-03-19 04:11:37,7,197.73
92U7DJX5R8,CUST12891,PROD48134,2024-09-10 17:15:31,5,523.12
X6Z4P38XSZ,CUST42961,PROD39092,2024-01-03 03:59:54,1,637.77
VAENAGDZR3,CUST70622,PROD99327,2024-10-31 03:07:14,2,960.72
9E8VK1RBQW,CUST68022,PROD74861,2024-02-01 09:38:07,5,816.99
OMHU5AL7NJ,CUST93032,PROD78584,2024-04-25 12:12:09,4,292.78
TVV6SCPSZJ,CUST29251,PROD12245,2023-11-24 01:04:11,3,856.58
821PYUZH74,CUST02903,PROD10616,2024-11-01 19:49:47,8,136.83
WTTH571C01,CUST53889,PROD47207,2024-03-28 12:59:30,3,944.61
JP51EMK8OC,CUST94205,PROD67539,2024-08-15 12:57:31,4,608.86
6EFVZRU9E1,CUST81631,PROD55769,2024-08-11 13:26:00,6,452.13
4EOABKCDLT,CUST29115,PROD08804,2024-02-19 11:55:19,10,856.04
VXHP9HT7Q4,CUST55089,PROD89529,2024-01-31 18:18:24,7,290.52
T9OFUC3LA7,CUST50569,PROD26265,2024-10-23 20:18:42,10,926.95
XCLF4A1LFM,CUST10139,PROD05425,2024-03-24 15:24:07,7,277.24
8URDYPEVCK,CUST07829,PROD45328,2024-11-08 19:54:19,10,586.04
J2R4U1ETRH,CUST49795,PROD21099,2024-03-28 10:59:15,4,365.62
2101RM02IK,CUST41728,PROD26023,2024-09-26 19:41:35,3,613.21
V2VY1P6CEC,CUST88996,PROD68222,2024-05-30 03:55:28,10,505.03
EKJ5EEMFRT,CUST26374,PROD02475,2024-05-12 13:22:26,6,27.56
44PMC0V1L0,CUST44020,PROD18088,2023-12-15 17:52:25,9,62.47
3JS2FLU1VY,CUST46797,PROD79635,2024-07-08 05:04:48,7,376.18
ADFSAM9VCM,CUST40029,PROD15263,2024-01-16 16:29:07,5,778.68
2KVE90VJBV,CUST87400,PROD55290,2023-12-10 02:37:24,1,178.39
M8G2UEEOWD,CUST39985,PROD81134,2024-05-29 06:57:10,3,931.44
MWG2SU9YOQ,CUST23271,PROD36358,2024-02-18 02:11:23,6,709.66
4LB0F21FEO,CUST73161,PROD47546,2024-11-06 06:00:50,1,282.02
97WWZXNUV2,CUST63578,PROD39967,2023-11-29 01:53:34,5,783.71
K9TDMKI1IN,CUST99267,PROD94740,2024-04-14 07:25:42,9,149.5
XU74RO3DLY,CUST70267,PROD32451,2023-12-02 08:12:23,10,737.46
GT02LRYM1P,CUST15640,PROD33226,2024-02-16 02:31:05,2,333.87
2DFIJ0JYRB,CUST87270,PROD03461,2024-06-16 12:36:21,8,758.8
RV3RQ6WA4B,CUST36847,PROD97300,2024-04-24 23:49:07,4,48.1
I1HQR8Q0PI,CUST35410,PROD63395,2024-02-05 03:34:19,10,283.25
56J95Q3WOC,CUST91517,PROD16655,2024-05-12 17:40:05,2,615.34
VFF4EKSE88,CUST83582,PROD39801,2024-01-02 07:15:51,8,462.59
TZ4I6KQP3I,CUST33961,PROD79972,2024-07-10 01:18:34,5,991.13
3VO9Z83VJG,CUST24000,PROD02883,2024-11-09 10:48:11,6,23.51
60UK5VQ1WI,CUST15554,PROD17292,2024-07-12 20:48:47,3,357.69
7U2PD05SZB,CUST03199,PROD95056,2024-07-04 01:44:34,6,206.86
UXNJZP7UHC,CUST92634,PROD95240,2024-02-21 05:48:59,9,14.94
X5U8BQ83JK,CUST19175,PROD22864,2024-05-01 02:44:42,7,625.37
NCFN9HBYSS,CUST96085,PROD02897,2023-12-29 14:29:21,2,681.36
2TIX75HZ5L,CUST32134,PROD84022,2024-05-13 17:33:55,4,292.74
RWE7JVRCCG,CUST22831,PROD11935,2024-09-30 03:07:18,7,101.11
M20MAOHNS7,CUST06926,PROD39551,2024-07-11 02:23:56,8,422.97
5Q7QGT5CP8,CUST42598,PROD64609,2024-01-05 11:39:12,7,314.75
CG4M9XGHYJ,CUST07483,PROD20656,2024-05-29 00:01:14,5,435.08
Q3WLHLDBSG,CUST46824,PROD59922,2024-02-25 11:15:41,10,349.84
ZT93K34SO0,CUST12812,PROD31124,2024-10-20 19:48:59,8,632.35
5NQCEYA8ZU,CUST05410,PROD27310,2024-08-17 15:46:51,5,672.92
MN0BEET338,CUST10978,PROD05039,2024-06-04 20:27:10,8,766.66
78PQVIE1D3,CUST34958,PROD78339,2024-01-06 12:50:07,2,823.33
STTPTKQO0N,CUST13184,PROD94883,2024-05-22 19:16:04,4,862.34
5LP6M6O826,CUST34790,PROD97550,2024-08-17 14:47:14,3,644.39
XO85M5RCZ5,CUST90364,PROD55314,2024-04-18 13:42:20,10,137.04
HMCY605WJJ,CUST05750,PROD48734,2024-08-29 10:28:30,2,941.92
KYCEE40E18,CUST87389,PROD39139,2023-11-29 22:10:52,1,872.88
P5VSSUMVRS,CUST37304,PROD52479,2024-03-21 20:21:25,1,767.43
76JJBCVJUZ,CUST59280,PROD52439,2024-07-03 16:09:31,6,906.92
1KPJWVE74A,CUST22772,PROD18135,2024-03-23 12:40:12,5,653.56
HXT79RG58B,CUST93937,PROD67395,2024-04-03 19:05:39,8,541.26
IBFKFQZY8W,CUST22258,PROD79305,2024-03-10 14:47:32,6,374.23
0VSMH04Q64,CUST14805,PROD23126,2024-06-04 06:13:32,1,575.95
RUN4DBETMX,CUST94894,PROD67860,2024-03-27 02:00:04,8,259.0
CN6ESVICRI,CUST29861,PROD46918,2024-09-08 22:54:01,3,988.07
RLBLYMEQ2L,CUST97125,PROD07315,2024-08-23 15:06:57,6,814.93
HIQQPK7OMM,CUST88596,PROD90840,2024-07-09 08:50:37,7,559.77
88SHW7PB2B,CUST91253,PROD71998,2024-08-17 02:34:16,4,332.92
9YH2D5BUN3,CUST72334,PROD96829,2024-03-25 10:08:08,4,204.12
NKE365XB14,CUST02644,PROD74329,2024-04-29 00:11:53,3,516.86
2JJMTOH6JD,CUST90533,PROD65222,2024-09-03 00:00:45,7,97.53
0FVZB1VX51,CUST08819,PROD49588,2024-06-16 04:33:04,8,991.74
OU9X07FSI2,CUST53803,PROD85494,2024-11-03 08:54:53,10,743.96
KW25CXP1Z5,CUST11741,PROD19197,2024-02-21 00:37:45,9,271.85
MI4MFBPUB6,CUST38105,PROD78613,2024-08-13 19:09:05,3,680.06
4RDS1HNMEP,CUST75677,PROD83924,2024-02-02 15:48:28,5,853.28
MWXRKN1GL0,CUST96633,PROD20420,2024-03-17 01:48:04,4,903.25
37FK3LVMD5,CUST68026,PROD27411,2024-03-10 12:33:54,7,377.61
L5F1KEYVHM,CUST81557,PROD16608,2024-04-08 20:14:05,10,141.6
4FFL3PHL4E,CUST34278,PROD53177,2024-10-25 20:59:08,8,95.31
96XBI3G4UP,CUST73948,PROD69615,2023-11-29 03:36:22,2,56.15
8XIIOG2ZLO,CUST19175,PROD67916,2024-03-23 04:39:59,1,922.24
KMGDNG56K8,CUST73038,PROD41013,2024-05-18 09:49:23,7,438.71
6KJ1DZ312P,CUST58307,PROD56205,2024-08-15 01:20:55,9,356.18
WS5B2V4A7G,CUST76609,PROD12375,2023-12-26 10:31:16,10,705.24
AR91QL2UNT,CUST85890,PROD04335,2024-07-03 15:22:52,3,728.32
1OKT671LY5,CUST66633,PROD31991,2024-07-25 09:49:08,3,57.98
ROV1X7RRBA,CUST06256,PROD99496,2024-04-02 22:16:58,8,704.61
ICWVWAHWAY,CUST35598,PROD50693,2023-12-03 17:57:46,7,969.84
LWJRRBYI8S,CUST08874,PROD01678,2024-08-07 22:26:22,5,943.82
IIOACXQ8GA,CUST75007,PROD00562,2024-07-29 02:59:41,7,49.37
CMY7JKWYMZ,CUST71488,PROD19637,2024-06-10 05:11:20,1,478.44
KQT6EDR42I,CUST69668,PROD67123,2024-09-06 14:52:29,6,424.53
N51RE78ENX,CUST93218,PROD74007,2023-12-28 03:57:31,8,654.75
5T3TL161P0,CUST88603,PROD96099,2024-08-12 09:59:39,8,577.95
ZC9K84FRLT,CUST36467,PROD01760,2024-07-27 12:55:33,2,697.99
FZQL08MHAG,CUST84065,PROD23092,2024-03-23 13:54:51,8,206.9
KKHMLAC3T0,CUST45977,PROD20509,2024-10-24 10:15:04,1,980.02
HH8I8NO5CQ,CUST52544,PROD52881,2023-11-20 00:53:37,2,320.97
ZOKWS9YD64,CUST33765,PROD72949,2023-12-19 20:44:06,6,78.3
VLSLHNOKHF,CUST99000,PROD39774,2024-11-10 19:30:13,10,343.9
E3APX4UEJH,CUST34636,PROD25717,2024-03-07 13:22:04,9,129.94
SV3QC0L1C1,CUST88151,PROD70512,2024-02-21 19:37:43,10,594.72
WBDH5UTC6Q,CUST44275,PROD37406,2024-07-04 02:38:04,8,874.11
BH2STXG69J,CUST23055,PROD39991,2023-12-10 09:12:18,2,796.47
9GQOMYW75K,CUST69475,PROD22120,2024-03-04 08:37:01,4,175.99
BFFZ0R7QJ8,CUST97880,PROD18675,2024-08-19 10:51:51,2,562.41
6BRZ2R4JL5,CUST18696,PROD91202,2024-10-09 19:08:03,8,65.35
UKALSVUTGY,CUST10740,PROD88969,2023-12-06 13:03:15,9,738.32
XLOY6CLXSW,CUST39884,PROD08646,2024-11-08 19:42:55,1,267.58
FJBYPGYQX0,CUST82262,PROD73943,2024-06-16 17:18:10,7,56.51
HP8T8UZ9B3,CUST03241,PROD30710,2024-06-03 03:52:31,1,519.86
HYP8HVU7SH,CUST49197,PROD69363,2024-09-29 16:20:59,3,959.41
8PPPEL84WP,CUST59080,PROD30668,2023-12-13 14:36:22,10,30.59
U9S6SCZ103,CUST69694,PROD41897,2024-09-09 12:07:50,4,28.02
XN1EPJGH7M,CUST10679,PROD97367,2024-03-24 19:28:49,1,909.86
CYCBY3C2C3,CUST84581,PROD53972,2024-11-11 15:47:54,9,127.94
VGW9E7ISPJ,CUST48304,PROD31362,2024-03-07 20:22:02,2,577.28
OZVBH9TTN6,CUST69483,PROD38736,2024-01-18 18:37:47,8,739.16
OH1OC8QD9V,CUST23650,PROD48906,2024-01-29 06:02:34,3,108.24
7X2NS0MX8N,CUST91234,PROD89450,2024-10-24 21:50:44,7,746.82
V800W7SE5K,CUST42446,PROD82961,2024-03-16 17:30:21,5,365.28
ZY7YA6RZFF,CUST42367,PROD00727,2024-09-22 17:02:27,2,402.8
EUNOMFG5EG,CUST55272,PROD19779,2024-06-24 10:06:33,5,317.36
GXGVR63YDK,CUST10359,PROD85690,2024-06-24 13:24:02,8,178.17
VLYOFBZWLM,CUST23898,PROD17801,2024-07-06 22:49:53,4,602.03
WOMLFIQGCC,CUST01998,PROD35987,2024-09-24 02:20:42,2,244.25
S4RKDX1B4K,CUST38087,PROD92365,2024-10-03 16:14:04,5,413.9
UXNC72D4G7,CUST25847,PROD65385,2024-01-21 21:52:25,6,31.09
IGPPLCMRRO,CUST83324,PROD41249,2024-01-23 02:44:20,10,218.82
R5RWV0D17Q,CUST66777,PROD60945,2024-01-11 12:04:40,2,615.37
21SWJW4NGX,CUST94173,PROD66474,2024-05-22 20:05:37,3,350.13
GXQ5KFSLG4,CUST08714,PROD11171,2024-07-16 07:09:55,7,117.76
RNDG2K2QN8,CUST22099,PROD82966,2024-08-25 00:36:53,1,693.75
E389QY0AKB,CUST14918,PROD12852,2024-02-25 23:56:00,2,364.49
HHRWBZUPU0,CUST56768,PROD91157,2024-09-16 05:42:19,8,12.9
1RLLHQ98NK,CUST14128,PROD13800,2024-03-20 05:23:26,10,96.96
WPIUY9EK0X,CUST53766,PROD15159,2024-08-30 14:56:22,6,660.8
S9BPEY4OVQ,CUST37077,PROD95649,2024-09-03 17:19:43,5,381.25
